epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.40318,0.82978,1.7097,1.22693,0.02327,0.21667,0.08974,0.04633,2.11551,4.78724,2.04575,0,0,0
2,1.92695,0.98302,2.41692,1.41448,0.05743,0.31667,0.12654,0.06529,2.05266,4.52637,2.00004,1.17822e-06,1.17822e-06,1.17822e-06
3,2.4456,1.38447,2.06053,1.67096,0.07351,0.56667,0.14024,0.05978,1.95258,4.23052,1.94131,2.33288e-06,2.33288e-06,2.33288e-06
4,3.02899,0.97852,1.6135,1.34716,0.06528,0.56667,0.13844,0.07685,1.89298,4.06656,1.87768,3.46397e-06,3.46397e-06,3.46397e-06
5,3.72639,1.13792,1.99908,1.57508,0.0582,0.56667,0.24478,0.14987,1.83814,3.8686,1.8181,4.5715e-06,4.5715e-06,4.5715e-06
6,4.57754,0.84193,1.53035,1.26474,0.39231,0.28333,0.26312,0.2042,1.84438,3.59595,1.7931,5.65548e-06,5.65548e-06,5.65548e-06
7,5.28783,0.93292,2.71758,1.37472,0.56443,0.26667,0.26777,0.20358,1.82308,3.35559,1.75437,6.71588e-06,6.71588e-06,6.71588e-06
8,5.95431,1.0775,3.11657,1.64676,0.64253,0.26667,0.28092,0.22194,1.78962,3.17864,1.70174,7.75273e-06,7.75273e-06,7.75273e-06
9,6.65092,1.25236,1.79788,1.55616,0.55,0.36667,0.30208,0.23212,1.77882,3.02713,1.63795,8.76602e-06,8.76602e-06,8.76602e-06
10,7.33052,1.00781,1.56985,1.45835,0.61088,0.33981,0.36447,0.24567,1.73747,2.85373,1.57084,9.75574e-06,9.75574e-06,9.75574e-06
11,8.00224,0.98357,1.2607,1.37601,0.63687,0.35781,0.38983,0.2666,1.64115,2.70213,1.53827,1.07219e-05,1.07219e-05,1.07219e-05
12,8.67517,1.07269,2.02637,1.3271,0.71384,0.36179,0.43659,0.3012,1.61361,2.55636,1.50725,1.16645e-05,1.16645e-05,1.16645e-05
13,9.48262,0.96057,1.66153,1.26648,0.71941,0.3581,0.49774,0.34346,1.59953,2.42524,1.49305,1.25835e-05,1.25835e-05,1.25835e-05
14,10.1493,1.02302,1.31096,1.39872,0.72276,0.35577,0.50854,0.36961,1.62152,2.30262,1.49551,1.3479e-05,1.3479e-05,1.3479e-05
15,10.817,0.98465,1.70388,1.41419,0.6703,0.39802,0.52369,0.37096,1.61198,2.23379,1.47493,1.43509e-05,1.43509e-05,1.43509e-05
