epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,963.832,0.88165,0.50263,1.36297,0.94337,0.90407,0.97139,0.73575,0.93652,0.56932,2.49078,0.00159934,0.00159934,0.00159934
43,986.703,0.88554,0.51874,1.36123,0.95755,0.89648,0.96649,0.73803,0.92798,0.56411,2.76221,0.00159769,0.00159769,0.00159769
44,1009.52,0.87382,0.50512,1.35757,0.95038,0.93203,0.97361,0.75464,0.89839,0.54278,2.89729,0.00159604,0.00159604,0.00159604
45,1032.38,0.85733,0.49946,1.33932,0.9413,0.93017,0.97463,0.74647,0.91406,0.55895,2.47593,0.00159439,0.00159439,0.00159439
46,1055.29,0.85155,0.49148,1.33273,0.94474,0.91862,0.9701,0.73613,0.93221,0.568,2.65475,0.00159274,0.00159274,0.00159274
47,1078.18,0.85559,0.48766,1.34012,0.93455,0.94954,0.9756,0.73345,0.9398,0.55185,2.69172,0.00159108,0.00159108,0.00159108
48,1101.07,0.86719,0.4995,1.355,0.95547,0.93438,0.97206,0.73654,0.93316,0.53005,3.51303,0.00158943,0.00158943,0.00158943
49,1124.11,0.8594,0.49256,1.34473,0.95479,0.91261,0.96798,0.72943,0.96519,0.56686,2.22122,0.00158778,0.00158778,0.00158778
50,1146.93,0.84775,0.49305,1.33788,0.9478,0.91427,0.96569,0.73699,0.92783,0.55535,2.5252,0.00158613,0.00158613,0.00158613
51,1169.75,0.846,0.48502,1.34684,0.93989,0.9291,0.97042,0.74088,0.92288,0.54244,2.77203,0.00158448,0.00158448,0.00158448
52,1192.77,0.85387,0.48335,1.34761,0.9382,0.93393,0.97128,0.7275,0.94371,0.55052,2.9969,0.00158283,0.00158283,0.00158283
53,1215.76,0.84129,0.47502,1.34826,0.9631,0.92371,0.97359,0.7446,0.91619,0.53383,3.33138,0.00158118,0.00158118,0.00158118
54,1238.68,0.84614,0.47418,1.33313,0.957,0.91391,0.97201,0.74095,0.92916,0.54876,2.96263,0.00157953,0.00157953,0.00157953
55,1261.78,0.842,0.47982,1.3599,0.96085,0.94122,0.9739,0.75001,0.91058,0.52692,2.39652,0.00157788,0.00157788,0.00157788
56,1285.07,0.84381,0.47062,1.32603,0.93744,0.93116,0.96857,0.73415,0.92273,0.55264,2.82398,0.00157623,0.00157623,0.00157623
57,1307.96,0.83163,0.47606,1.34251,0.957,0.92586,0.9723,0.74871,0.9071,0.53505,2.39835,0.00157458,0.00157458,0.00157458
58,1331,0.82702,0.46836,1.31224,0.94456,0.93666,0.97224,0.75294,0.89308,0.53467,2.57432,0.00157293,0.00157293,0.00157293
59,1353.76,0.82958,0.47369,1.32113,0.94668,0.94184,0.97027,0.74697,0.90397,0.52833,2.65958,0.00157128,0.00157128,0.00157128
60,1376.47,0.82559,0.47005,1.31722,0.93679,0.93987,0.97418,0.73998,0.91541,0.53864,2.63784,0.00156963,0.00156963,0.00156963
61,1399.45,0.81365,0.46141,1.33927,0.95459,0.92805,0.96823,0.73452,0.93219,0.54722,2.72032,0.00156798,0.00156798,0.00156798
62,1422.13,0.80783,0.45533,1.31795,0.94666,0.94634,0.97067,0.73238,0.93031,0.55142,2.3353,0.00156633,0.00156633,0.00156633
63,1445.01,0.80556,0.46029,1.32721,0.95335,0.93089,0.9722,0.73859,0.93354,0.53021,2.60586,0.00156468,0.00156468,0.00156468
64,1467.97,0.80918,0.46203,1.30748,0.94643,0.93414,0.97137,0.73645,0.92231,0.53175,2.25744,0.00156303,0.00156303,0.00156303
65,1490.73,0.80209,0.45831,1.31474,0.94646,0.93926,0.97506,0.73778,0.93371,0.544,2.3575,0.00156138,0.00156138,0.00156138
66,1513.5,0.81043,0.46376,1.33972,0.94773,0.94546,0.97117,0.72138,0.98623,0.53561,2.94117,0.00155973,0.00155973,0.00155973
67,1536.15,0.80055,0.45413,1.30452,0.94927,0.93159,0.96709,0.73346,0.92656,0.53307,2.68562,0.00155808,0.00155808,0.00155808
68,1559.06,0.78811,0.45233,1.3113,0.94745,0.9411,0.97191,0.73889,0.92094,0.52468,2.42751,0.00155643,0.00155643,0.00155643
69,1581.66,0.79005,0.44768,1.29511,0.95733,0.94522,0.97454,0.7548,0.90106,0.53061,3.17359,0.00155478,0.00155478,0.00155478
70,1604.26,0.78595,0.44781,1.30041,0.9604,0.93073,0.97112,0.73317,0.93521,0.52514,2.84683,0.00155313,0.00155313,0.00155313
71,1626.92,0.78188,0.44747,1.30214,0.96656,0.91879,0.96688,0.74439,0.90572,0.55122,2.80081,0.00155148,0.00155148,0.00155148
72,1649.61,0.79211,0.45091,1.30625,0.96306,0.91993,0.97071,0.74786,0.90647,0.56008,2.74644,0.00154983,0.00154983,0.00154983
73,1672.41,0.78781,0.4475,1.29279,0.94722,0.91625,0.96837,0.74435,0.91592,0.56888,2.63097,0.00154818,0.00154818,0.00154818
74,1695.21,0.78751,0.45051,1.29337,0.9626,0.92841,0.97171,0.73373,0.93648,0.55493,2.75517,0.00154653,0.00154653,0.00154653
75,1718.07,0.79203,0.453,1.31598,0.95565,0.9385,0.97512,0.73412,0.94805,0.53206,3.05667,0.00154488,0.00154488,0.00154488
76,1740.86,0.77117,0.44324,1.29916,0.95548,0.94189,0.97476,0.7344,0.92055,0.53408,2.83965,0.00154323,0.00154323,0.00154323
77,1763.43,0.77743,0.44769,1.29976,0.96588,0.92696,0.9711,0.72726,0.94906,0.55003,2.62817,0.00154157,0.00154157,0.00154157
78,1786.2,0.7765,0.44475,1.30283,0.95701,0.92684,0.96627,0.7203,0.94583,0.5437,2.42339,0.00153992,0.00153992,0.00153992
79,1809.22,0.7681,0.4368,1.29477,0.95462,0.92132,0.97065,0.7436,0.91371,0.52827,2.63446,0.00153827,0.00153827,0.00153827
80,1832.18,0.76467,0.43903,1.29384,0.94534,0.93522,0.96767,0.73144,0.94569,0.53627,2.75772,0.00153662,0.00153662,0.00153662
81,1855.23,0.75822,0.43854,1.26394,0.9603,0.93151,0.97067,0.73194,0.94051,0.53011,2.91509,0.00153497,0.00153497,0.00153497
82,1878.12,0.76118,0.44042,1.28265,0.96421,0.94302,0.9732,0.74294,0.9072,0.50877,2.56396,0.00153332,0.00153332,0.00153332
83,1901.14,0.74916,0.43288,1.2814,0.9511,0.94787,0.97478,0.74183,0.90527,0.51769,2.63763,0.00153167,0.00153167,0.00153167
84,1924.17,0.76208,0.43772,1.28659,0.96168,0.94061,0.97512,0.74425,0.90594,0.51731,2.66643,0.00153002,0.00153002,0.00153002
85,1947,0.7535,0.42929,1.28261,0.96282,0.93973,0.96884,0.74128,0.90569,0.51606,2.73371,0.00152837,0.00152837,0.00152837
86,1970,0.74842,0.42326,1.28763,0.95741,0.93931,0.97512,0.73389,0.94234,0.53012,2.37672,0.00152672,0.00152672,0.00152672
87,1992.85,0.76812,0.44411,1.2827,0.96468,0.9456,0.97209,0.74291,0.91975,0.51757,2.56496,0.00152507,0.00152507,0.00152507
88,2015.81,0.74785,0.43119,1.28694,0.96522,0.9445,0.97326,0.74946,0.90771,0.51828,2.41367,0.00152342,0.00152342,0.00152342
