epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.9111,2.24499,4.64924,2.74482,0.31433,0.48328,0.36333,0.19302,1.46344,2.20965,2.32231,0.000164875,0.000164875,0.000164875
2,44.9728,1.40947,2.123,2.17836,0.87457,0.71795,0.82083,0.54005,1.2212,1.23156,2.18174,0.000324977,0.000324977,0.000324977
3,66.0411,1.2287,1.3415,2.09062,0.91153,0.80366,0.91565,0.63999,1.10306,0.92313,2.19496,0.000478479,0.000478479,0.000478479
4,84.146,1.16708,1.0961,2.03389,0.93227,0.9,0.96014,0.68436,1.0653,0.77923,2.07981,0.0004703,0.0004703,0.0004703
5,101.646,1.11088,0.96266,1.99949,0.92775,0.89648,0.95939,0.71071,0.99572,0.74012,2.04362,0.0004604,0.0004604,0.0004604
6,119.795,1.07558,0.8789,1.9749,0.94597,0.90669,0.97264,0.73259,0.96245,0.67978,2.05869,0.0004505,0.0004505,0.0004505
7,139.738,1.05129,0.83318,1.99928,0.93104,0.91148,0.97488,0.74052,0.94283,0.65959,2.07757,0.0004406,0.0004406,0.0004406
8,157.671,1.03648,0.80097,1.981,0.93313,0.92383,0.97611,0.73992,0.94954,0.63952,2.09492,0.0004307,0.0004307,0.0004307
9,175.346,1.00185,0.75932,1.97056,0.93944,0.92183,0.97596,0.74719,0.91952,0.6255,2.06317,0.0004208,0.0004208,0.0004208
