epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,331.43,0.91232,0.51096,1.32883,0.96947,0.94373,0.97862,0.75505,0.90829,0.5194,2.42645,0.0091882,0.0091882,0.0091882
43,338.97,0.90021,0.50716,1.33191,0.96939,0.9426,0.97335,0.74741,0.91725,0.53327,2.69084,0.0091684,0.0091684,0.0091684
44,346.579,0.89927,0.50033,1.32087,0.96679,0.9465,0.97389,0.73561,0.96987,0.54821,2.51748,0.0091486,0.0091486,0.0091486
45,354.309,0.89731,0.50831,1.31994,0.96378,0.94949,0.98044,0.74429,0.92815,0.52928,3.24246,0.0091288,0.0091288,0.0091288
46,361.802,0.89746,0.51007,1.32212,0.9697,0.93226,0.97708,0.73442,0.94104,0.5686,2.43913,0.009109,0.009109,0.009109
47,369.67,0.88075,0.52129,1.31753,0.94682,0.92893,0.97052,0.74201,0.90737,0.54467,2.43755,0.0090892,0.0090892,0.0090892
48,377.426,0.88007,0.51219,1.33283,0.95963,0.91605,0.97025,0.73131,0.9576,0.57275,2.31986,0.0090694,0.0090694,0.0090694
49,385.181,0.89317,0.50842,1.32233,0.9626,0.94345,0.9712,0.71577,0.99932,0.55282,2.36923,0.0090496,0.0090496,0.0090496
50,393.192,0.89157,0.5049,1.32593,0.97011,0.9506,0.98015,0.74021,0.90158,0.52537,2.89448,0.0090298,0.0090298,0.0090298
51,400.851,0.87555,0.49653,1.30524,0.96029,0.94513,0.97974,0.74851,0.9047,0.53365,2.55251,0.00901,0.00901,0.00901
52,408.611,0.8764,0.49604,1.31643,0.96341,0.93822,0.97303,0.72985,0.94555,0.54957,2.66294,0.0089902,0.0089902,0.0089902
53,416.22,0.89004,0.50109,1.31293,0.97581,0.94355,0.97687,0.73211,0.97785,0.54916,2.85622,0.0089704,0.0089704,0.0089704
54,423.771,0.87522,0.49434,1.30995,0.9674,0.93908,0.97019,0.73462,0.93977,0.54214,2.75631,0.0089506,0.0089506,0.0089506
55,431.542,0.86807,0.5068,1.30759,0.96263,0.94846,0.9783,0.74289,0.91912,0.52441,2.72827,0.0089308,0.0089308,0.0089308
56,439.075,0.87381,0.49554,1.32107,0.97261,0.93753,0.97235,0.72617,1.00276,0.54552,2.10633,0.008911,0.008911,0.008911
57,446.606,0.87268,0.49337,1.30572,0.97157,0.94858,0.98053,0.74263,0.94083,0.53836,2.25708,0.0088912,0.0088912,0.0088912
58,454.136,0.868,0.49431,1.30712,0.96684,0.95932,0.98202,0.74626,0.91823,0.53083,2.68389,0.0088714,0.0088714,0.0088714
59,461.834,0.86868,0.49488,1.31103,0.96069,0.94905,0.97705,0.73807,0.94293,0.53159,2.65228,0.0088516,0.0088516,0.0088516
60,469.945,0.85366,0.49497,1.3011,0.96167,0.95332,0.97642,0.72927,0.95663,0.54217,2.32766,0.0088318,0.0088318,0.0088318
61,477.894,0.86142,0.49613,1.30397,0.96394,0.9483,0.97289,0.74777,0.90637,0.51023,2.37547,0.008812,0.008812,0.008812
62,485.788,0.85386,0.48836,1.29,0.957,0.95015,0.97741,0.74929,0.90893,0.51859,2.41802,0.0087922,0.0087922,0.0087922
63,493.716,0.84951,0.48276,1.29313,0.9598,0.95334,0.9755,0.73451,0.9469,0.53567,2.40023,0.0087724,0.0087724,0.0087724
64,501.672,0.85397,0.48452,1.30293,0.96195,0.95477,0.97741,0.75366,0.91048,0.54187,2.99511,0.0087526,0.0087526,0.0087526
65,509.716,0.84581,0.48398,1.29197,0.96332,0.95346,0.97733,0.74761,0.90662,0.51883,2.50513,0.0087328,0.0087328,0.0087328
66,517.609,0.85163,0.48761,1.2878,0.95881,0.94658,0.9765,0.75012,0.91962,0.52899,2.49346,0.008713,0.008713,0.008713
67,525.545,0.83788,0.47825,1.28408,0.96451,0.94514,0.97578,0.74154,0.93908,0.52371,2.63712,0.0086932,0.0086932,0.0086932
68,533.432,0.84115,0.48594,1.28235,0.97255,0.94261,0.97873,0.74328,0.9358,0.53498,2.20698,0.0086734,0.0086734,0.0086734
69,541.302,0.83307,0.47291,1.28026,0.96935,0.9443,0.97729,0.7504,0.92928,0.53194,2.644,0.0086536,0.0086536,0.0086536
70,549.315,0.82883,0.47634,1.28577,0.96954,0.94853,0.9772,0.74043,0.94509,0.52558,3.41851,0.0086338,0.0086338,0.0086338
71,557.323,0.83905,0.47767,1.29738,0.95695,0.95272,0.98015,0.74767,0.92093,0.52084,2.66571,0.008614,0.008614,0.008614
72,565.204,0.84069,0.47639,1.29177,0.95176,0.9527,0.97761,0.73477,0.94955,0.52376,2.26282,0.0085942,0.0085942,0.0085942
73,573.068,0.83397,0.47609,1.28267,0.96109,0.95516,0.97801,0.73451,0.9446,0.53589,2.56422,0.0085744,0.0085744,0.0085744
74,580.94,0.82761,0.48286,1.28422,0.97227,0.94113,0.97542,0.75202,0.89484,0.50817,2.51209,0.0085546,0.0085546,0.0085546
75,588.815,0.82265,0.46975,1.27207,0.96045,0.94159,0.97157,0.74373,0.91753,0.53632,2.18797,0.0085348,0.0085348,0.0085348
76,596.831,0.82108,0.47419,1.27006,0.96932,0.9511,0.9788,0.75379,0.91123,0.52341,2.34934,0.008515,0.008515,0.008515
77,604.729,0.80986,0.47542,1.27714,0.96261,0.95438,0.97819,0.75417,0.91203,0.54156,2.3948,0.0084952,0.0084952,0.0084952
78,612.623,0.81674,0.47201,1.26774,0.96058,0.94047,0.97651,0.74965,0.90092,0.5278,2.4891,0.0084754,0.0084754,0.0084754
79,620.517,0.8114,0.46852,1.26684,0.97239,0.94091,0.97774,0.75362,0.91044,0.52446,2.36169,0.0084556,0.0084556,0.0084556
80,628.41,0.80548,0.46862,1.26454,0.96905,0.94787,0.97716,0.72477,1.01061,0.54435,2.79326,0.0084358,0.0084358,0.0084358
81,636.501,0.81227,0.46813,1.26813,0.9709,0.94498,0.97294,0.74657,0.9143,0.51186,2.51092,0.008416,0.008416,0.008416
82,644.389,0.80812,0.46529,1.26392,0.96859,0.9412,0.97106,0.73941,0.90743,0.51044,2.59004,0.0083962,0.0083962,0.0083962
83,652.276,0.8033,0.45985,1.25767,0.95964,0.94677,0.97582,0.74434,0.90329,0.52631,2.6241,0.0083764,0.0083764,0.0083764
84,660.215,0.80723,0.46656,1.26783,0.96874,0.94315,0.97691,0.7448,0.90834,0.51845,2.67531,0.0083566,0.0083566,0.0083566
85,668.098,0.79084,0.46208,1.27326,0.96403,0.94798,0.97802,0.75575,0.8922,0.49825,2.36998,0.0083368,0.0083368,0.0083368
86,676.194,0.80634,0.46455,1.27543,0.9622,0.95947,0.97993,0.74397,0.92598,0.51569,2.22112,0.008317,0.008317,0.008317
87,684.126,0.78897,0.45796,1.25662,0.96766,0.94928,0.97816,0.75366,0.91316,0.50085,2.48772,0.0082972,0.0082972,0.0082972
88,692.056,0.7999,0.45936,1.25397,0.96069,0.95897,0.9789,0.75027,0.90624,0.51584,2.60114,0.0082774,0.0082774,0.0082774
89,700.078,0.78879,0.46436,1.24774,0.96216,0.9594,0.97492,0.73995,0.92287,0.50712,2.46164,0.0082576,0.0082576,0.0082576
90,707.945,0.78476,0.4538,1.26666,0.96691,0.93728,0.9725,0.73653,0.93956,0.53005,2.66153,0.0082378,0.0082378,0.0082378
91,715.987,0.78693,0.4544,1.25688,0.96677,0.94887,0.9735,0.7395,0.92402,0.52077,2.33405,0.008218,0.008218,0.008218
92,723.855,0.78736,0.45698,1.2468,0.97025,0.94627,0.97351,0.73935,0.94397,0.52188,2.75153,0.0081982,0.0081982,0.0081982
93,731.726,0.76876,0.45371,1.26243,0.97177,0.94991,0.97456,0.74302,0.93497,0.52446,2.40481,0.0081784,0.0081784,0.0081784
94,739.596,0.76123,0.46042,1.24905,0.96581,0.95013,0.97582,0.74905,0.9044,0.52379,2.79296,0.0081586,0.0081586,0.0081586
95,747.476,0.77532,0.45986,1.23843,0.96279,0.95002,0.97258,0.73855,0.91568,0.50883,3.33998,0.0081388,0.0081388,0.0081388
96,755.525,0.77665,0.45081,1.24716,0.96601,0.95551,0.97925,0.7499,0.90621,0.51536,2.81651,0.008119,0.008119,0.008119
97,763.403,0.7685,0.44908,1.23804,0.96193,0.9485,0.97553,0.73301,0.93935,0.51237,2.34903,0.0080992,0.0080992,0.0080992
98,771.284,0.77119,0.44994,1.24529,0.96713,0.95371,0.97873,0.74964,0.8931,0.51188,2.49609,0.0080794,0.0080794,0.0080794
99,779.165,0.77095,0.44944,1.25825,0.96809,0.95312,0.98023,0.75397,0.89885,0.52888,2.37913,0.0080596,0.0080596,0.0080596
100,787.045,0.76846,0.44927,1.24806,0.96821,0.9352,0.97116,0.74157,0.92232,0.52437,2.69502,0.0080398,0.0080398,0.0080398
101,795.133,0.75703,0.45903,1.2392,0.96882,0.94722,0.97754,0.74501,0.93369,0.52065,2.69054,0.00802,0.00802,0.00802
102,803.001,0.76105,0.45066,1.22669,0.96224,0.95471,0.97789,0.74715,0.91868,0.51274,2.28002,0.0080002,0.0080002,0.0080002
103,810.883,0.75641,0.44356,1.24021,0.96541,0.94944,0.97755,0.74534,0.93051,0.52917,2.7622,0.0079804,0.0079804,0.0079804
104,818.773,0.76245,0.44439,1.23041,0.96708,0.94437,0.97246,0.7388,0.93681,0.51996,2.4362,0.0079606,0.0079606,0.0079606
